title,price,description,image_link
Lexus ES,$ 12 700,"2007 г., 3.5 л., автомат, седан, бензин, руль слева, 212 433 км",https://im.mashina.kg/tachka/images//e/f/c/efc71b6d0b3d1a744a69d6ff2adfb740_240x180.jpg
Lexus ES,$ 45 200,"2019 г., 2.5 л., вариатор, седан, гибрид, руль слева, 21 000 км",https://im.mashina.kg/tachka/images//a/7/e/a7efb0749b479b448c0aeb2fe107a442_240x180.jpg
Hyundai Sonata,$ 16 555,"2017 г., 2 л., автомат, седан, бензин, руль слева, 110 000 км",https://im.mashina.kg/tachka/images//e/5/c/e5ce5d8c0f32823f1033f55be707de5c_240x180.jpg
Opel Zafira,$ 3 408,"2000 г., 1.8 л., механика, компактвэн, бензин, руль слева, 145 236 км",https://im.mashina.kg/tachka/images//c/0/d/c0d79024ed6ed8cc46e6fcaa530a7e9c_240x180.jpg
Toyota Crown,$ 15 000,"2009 г., 3.5 л., автомат, седан, бензин, руль справа, 176 000 км",https://im.mashina.kg/tachka/images//c/3/2/c3226092d5741ca0b13869f6abb1b22c_240x180.jpg
Mercedes-Benz E-класс,$ 6 800,"2002 г., 3.2 л., автомат, седан, бензин, руль слева, 400 000 км",https://im.mashina.kg/tachka/images//7/4/7/7476b70f46dcfd843965237a7a606bfc_240x180.jpg
Honda Fit,$ 7 700,"2006 г., 1.5 л., автомат, хэтчбек 5 дв., бензин, руль слева, 175 000 км",https://im.mashina.kg/tachka/images//2/9/a/29a2f1b18427f2fc9c89aa5fe2e54fd4_240x180.jpg
Kia Optima,$ 16 200,"2017 г., 2 л., автомат, седан, гибрид, руль слева, 97 000 км",https://im.mashina.kg/tachka/images//f/3/a/f3ae5d5b095254f3448537eb3c248470_240x180.jpg
Toyota Camry,$ 15 500,"2016 г., 2.5 л., автомат, седан, бензин, руль слева, 100 000 км",https://im.mashina.kg/tachka/images//b/6/1/b617a06b1c178d5acce5dca8ce802312_240x180.jpg
Toyota Camry,$ 29 500,"2018 г., 2 л., автомат, седан, бензин, руль слева, 36 800 км",https://im.mashina.kg/tachka/images//a/d/c/adce0b33f93271d2592bbc99c1205667_240x180.jpg
BMW 1 Серия,$ 21 999,"2008 г., 3 л., механика, купе, бензин, руль слева, 158 000 км",https://im.mashina.kg/tachka/images//1/2/b/12b7fa3fa0c9ec64c6c928f836797728_240x180.jpg
Toyota Alphard,$ 12 600,"2007 г., 3 л., автомат, минивэн, бензин, руль справа, 96 000 км",https://im.mashina.kg/tachka/images//c/4/e/c4e663cee46674f60bcb24162fffc970_240x180.jpg
Lexus NX,$ 33 900,"2017 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 86 000 км",https://im.mashina.kg/tachka/images//7/0/6/706300e7991c874be9d7f772ecb2d38c_240x180.jpg
Toyota Camry,$ 21 500,"2016 г., 2 л., автомат, седан, бензин, руль слева, 142 000 км",https://im.mashina.kg/tachka/images//a/6/5/a658f2e87312ed5565ed07261e9bca37_240x180.jpg
BMW X5,$ 36 000,"2015 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 174 000 км",https://im.mashina.kg/tachka/images//1/8/0/180badd755518f79d30fa515834909e4_240x180.jpg
Toyota Camry,$ 20 000,"2012 г., 3.5 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//6/a/c/6acb9ef37fd477d3411dda7229e3a686_240x180.jpg
Toyota Harrier,$ 13 900,"2003 г., 3 л., автомат, внедорожник 5 дв., бензин, руль справа, 240 000 км",https://im.mashina.kg/tachka/images//6/b/9/6b97146a52ffe58de3d12cf91af0a93f_240x180.jpg
Mercedes-Benz E-класс,$ 9 300,"2002 г., 5 л., автомат, седан, бензин, руль слева, 221 100 км",https://im.mashina.kg/tachka/images//2/4/5/245068873dc936597c294285065f7776_240x180.jpg
Subaru XV,$ 26 500,"2018 г., 2 л., вариатор, внедорожник 5 дв., бензин, руль слева, 58 000 км",https://im.mashina.kg/tachka/images//c/7/9/c79cfbe1508b5f626d75754593fd47f0_240x180.jpg
Toyota Vellfire,$ 15 800,"2010 г., 3.5 л., автомат, минивэн, бензин, руль справа, 104 000 км",https://im.mashina.kg/tachka/images//2/a/d/2ad9170e6c4143eac2b5be7887fbe0c8_240x180.jpg
Lexus LX,$ 59 500,"2012 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 113 000 км",https://im.mashina.kg/tachka/images//a/3/0/a3099cfb52e59ebd6f5664b3eba593b5_240x180.jpg
Toyota Alphard,$ 14 500,"2010 г., 2.4 л., автомат, минивэн, бензин, руль справа, 62 000 км",https://im.mashina.kg/tachka/images//e/a/2/ea2029a96c7110c2a0a1ff0e1d49f25d_240x180.jpg
Toyota Camry,$ 15 100,"2012 г., 2.5 л., автомат, седан, бензин, руль слева, 123 000 км",https://im.mashina.kg/tachka/images//2/c/d/2cd7973ef92d0e4fc06297dbecd401c6_240x180.jpg
Toyota Camry,$ 17 800,"2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 137 000 км",https://im.mashina.kg/tachka/images//d/f/a/dfaafdb680ed188c045b1ae4238aabf1_240x180.jpg
Kia Optima,$ 12 600,"2016 г., 2.4 л., автомат, седан, бензин, руль слева, 78 000 км",https://im.mashina.kg/tachka/images//3/4/e/34e630f07cf7004aaf2d8af1407af852_240x180.jpg
Lexus RX,$ 9 600,"2002 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 216 000 км",https://im.mashina.kg/tachka/images//4/2/7/42728f9af4e4a42102b70598aaa68916_240x180.jpg
Honda Fit,$ 13 800,"2017 г., 1.5 л., вариатор, хэтчбек 5 дв., бензин, руль слева, 52 000 км",https://im.mashina.kg/tachka/images//0/1/f/01f81b4359c34492af6cdfd02f460028_240x180.jpg
Mercedes-Benz E-класс AMG,$ 25 000,"2000 г., 5.4 л., автомат, седан, бензин, руль слева, 127 000 км",https://im.mashina.kg/tachka/images//8/c/d/8cd322dfeec5e8bcc068913eefcbcbb9_240x180.jpg
Toyota Crown,$ 13 700,"2010 г., 3.5 л., автомат, седан, бензин, руль справа",https://im.mashina.kg/tachka/images//6/2/a/62accdc3da526bf4bfeaf695094d9191_240x180.jpg
Lexus GX,$ 21 500,"2006 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//c/a/b/cab0ce9a8baa1d1fd8460bb7c8b75ee4_240x180.jpg
Toyota Camry,$ 15 900,"2012 г., 2.5 л., вариатор, седан, гибрид, руль слева",https://im.mashina.kg/tachka/images//c/8/3/c83aae5a2f6762aa1a2fee2a38999c43_240x180.jpg
Toyota Highlander,$ 36 500,"2016 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 140 000 км",https://im.mashina.kg/tachka/images//9/2/4/924712fa0b3a74ef5b4245870b0fda21_240x180.jpg
Toyota Land Cruiser,$ 60 000,"2015 г., 4.5 л., автомат, внедорожник 5 дв., дизель, руль слева, 138 000 км",https://im.mashina.kg/tachka/images//8/0/f/80f2d9902fa9a7eda87341a9985ccb84_240x180.jpg
Mercedes-Benz E-класс,$ 8 300,"2002 г., 3.2 л., автомат, седан, бензин, руль слева, 217 000 км",https://im.mashina.kg/tachka/images//7/d/f/7df7f6c539e85702ab8320fcca06d52b_240x180.jpg
Lexus RX,$ 97 000,"2020 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 27 619 км",https://im.mashina.kg/tachka/images//9/a/1/9a152c39134b106468f57534c97a8d19_240x180.jpg
BMW X7,$ 165 000,"2021 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 23 000 км",https://im.mashina.kg/tachka/images//1/6/5/1654b9b5c4719b24514751df46727cd2_240x180.jpg
Lexus GX,$ 23 000,"2005 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 120 000 км",https://im.mashina.kg/tachka/images//f/c/0/fc0fc7e3d7cba61b4d177c15e5dd6a77_240x180.jpg
Toyota Prius,$ 23 500,"2017 г., 1.8 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 60 000 км",https://im.mashina.kg/tachka/images//3/5/e/35e5e8289895ca69f44cce51e4a898ba_240x180.jpg
Lexus GS,$ 10 500,"2003 г., 4.3 л., автомат, седан, бензин, руль слева, 166 000 км",https://im.mashina.kg/tachka/images//1/4/d/14da451471427ffa4a2aa9bc75df0b2e_240x180.jpg
Mercedes-Benz C-класс,$ 30 000,"2016 г., 3 л., автомат, седан, бензин, руль слева, 92 000 км",https://im.mashina.kg/tachka/images//a/1/c/a1c2b78cb37fc2bfad5e847611c55a87_240x180.jpg
BMW X7,$ 155 000,"2020 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 45 000 км",https://im.mashina.kg/tachka/images//5/8/6/58635862d56b8a5a397eeaf7ae661d9b_240x180.jpg
BMW X5,$ 28 500,"2012 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 230 000 км",https://im.mashina.kg/tachka/images//0/e/4/0e4c90d5e54ebd47242d715f451748dd_240x180.jpg
BMW 5 Серия,$ 44 000,"2017 г., 2 л., автомат, седан, дизель, руль слева, 103 000 км",https://im.mashina.kg/tachka/images//7/d/a/7da86771db7a2b43c1e720629fd7648d_240x180.jpg
Audi 100,$ 2 678,"1991 г., 2.3 л., механика, седан, бензин, руль слева, 293 000 км",https://im.mashina.kg/tachka/images//2/d/2/2d2cead8569a4c4c5254439ba84d1c20_240x180.jpg
Daewoo Matiz,$ 2 556,"2009 г., 0.8 л., механика, хэтчбек 5 дв., бензин, руль слева, 258 800 км",https://im.mashina.kg/tachka/images//a/2/f/a2f6698a002f968f30c54163ccadb3f3_240x180.jpg
Toyota Prius,$ 18 000,"2016 г., 1.8 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 189 000 км",https://im.mashina.kg/tachka/images//b/4/f/b4f9319faa5ebefda8ff06c2249e80e3_240x180.jpg
Toyota Prius,$ 17 500,"2016 г., 1.8 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 200 000 км",https://im.mashina.kg/tachka/images//a/b/e/abec1263fa5ead971202aab4b0c27f61_240x180.jpg
Toyota Prius,$ 18 000,"2016 г., 1.8 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 74 700 км",https://im.mashina.kg/tachka/images//c/d/9/cd93f43ba33c5dda7dda54071f5aeb09_240x180.jpg
Hyundai Sonata,$ 15 300,"2016 г., 2.4 л., автомат, седан, бензин, руль слева, 80 200 км",https://im.mashina.kg/tachka/images//a/8/2/a82d424be5c9fff4fc222fc0d9fe08d6_240x180.jpg
Toyota TownAce,$ 4 139,"1999 г., 2 л., автомат, компактвэн, бензин, руль справа",https://im.mashina.kg/tachka/images//0/6/0/0601fa78c6e8c5f127e120d2597b5863_240x180.jpg
BMW 7 Серия,$ 26 000,"2013 г., 3 л., автомат, седан, бензин, руль слева, 180 000 км",https://im.mashina.kg/tachka/images//f/2/d/f2d1653a2878817f7ea7226dd4b6752a_240x180.jpg
Volkswagen Golf,$ 5 000,"2005 г., 1.6 л., механика, универсал, бензин, руль слева, 170 000 км",https://im.mashina.kg/tachka/images//d/7/b/d7b6d952a3512634b8d45fc6781889ff_240x180.jpg
BMW 5 Серия,$ 4 700,"1992 г., 2 л., механика, седан, бензин, руль слева, 454 000 км",https://im.mashina.kg/tachka/images//6/5/3/65382ab6b03a94d7f6866808548ad863_240x180.jpg
Toyota Land Cruiser Prado,$ 24 500,"2008 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 340 000 км",https://im.mashina.kg/tachka/images//b/e/8/be8e2baddffa9871eef7b5a8f2018beb_240x180.jpg
Kia K5 II Седан,$ 16 800,"2018 г., 2 л., автомат, седан, газ, руль слева, 135 000 км",https://im.mashina.kg/tachka/images//0/8/e/08e49531a3f30e77b8e6334c3958f7c2_240x180.jpg
Mercedes-Benz S-класс,$ 14 000,"2005 г., 5.5 л., автомат, седан, бензин, руль слева, 169 000 км",https://im.mashina.kg/tachka/images//c/6/b/c6b5fa69dc5527434f54d75fe245c3e4_240x180.jpg
Nissan Primera,$ 3 895,"2002 г., 1.8 л., автомат, седан, бензин, руль справа, 211 000 км",https://im.mashina.kg/tachka/images//e/f/3/ef36f2d9c273386f38f27bf87d6b16c0_240x180.jpg
